Degree,Iteration,Implicit Time,No Vector Time,Intrinsic Time,Imntrinsic load time
131072,2048,4.2713,3.64966,4.24191,4.10976
131072,4096,8.30594,7.12726,8.39937,8.18947
131072,8192,16.3246,14.1388,16.7713,16.3354
131072,16384,32.3802,28.1876,33.3776,32.6121
131072,32768,64.4158,56.2013,66.662,65.186
131072,65536,128.601,112.292,133.242,132.688
131072,131072,255.043,222.854,265.019,259.699
131072,262144,510.169,446.275,531.043,520.48
262144,2,0.623366,0.38149,0.193579,0.537085
262144,4,0.590171,0.561397,0.610513,0.547907
262144,8,0.634696,0.564635,0.574376,0.149529
262144,16,0.608532,0.560008,0.572984,0.150901
262144,32,0.728177,0.438254,0.214176,0.166187
262144,64,0.892293,0.304439,0.329557,0.305342
262144,128,1.12401,0.571577,0.686517,0.585216
262144,256,1.61453,1.11324,1.31214,1.145
262144,512,2.69109,2.00317,2.44022,2.14188
262144,1024,4.77101,3.75731,4.65558,4.13488
262144,2048,8.9867,7.42368,9.14026,8.16626
262144,4096,17.3346,14.6199,18.2035,16.259
262144,8192,33.9824,29.1449,36.3545,32.4667
262144,16384,67.375,58.4443,72.507,64.879
262144,32768,134.126,117.236,146.636,129.531
262144,65536,267.727,234.917,289.373,258.907
262144,131072,534.483,472.071,578.609,517.806
262144,262144,1068.46,960.087,1156.84,1036.15
524288,2,0.980005,0.672756,0.845858,0.605338
524288,4,0.816047,0.707431,0.730985,0.338433
524288,8,0.870056,0.704335,0.743684,0.580456
524288,16,1.02337,0.721257,0.758699,0.294745
524288,32,1.15617,0.708283,0.370799,0.306581
524288,64,1.42359,0.57763,0.689058,0.592008
524288,128,2.26663,1.08892,1.33428,1.15998
524288,256,3.03761,2.11484,2.60605,2.29358
524288,512,5.0584,3.90342,4.85796,4.2966
524288,1024,9.64299,7.51066,9.34503,8.30851
524288,2048,17.7493,14.8185,18.3694,16.4061
524288,4096,34.4829,29.398,36.6539,32.7869
524288,8192,67.8605,58.9921,73.104,65.2951
524288,16384,134.704,118.629,146.062,130.534
524288,32768,268.331,236.987,291.875,260.759
524288,65536,535.66,476.601,583.624,521.344
524288,131072,1070.26,968.602,1168.05,1042.88
524288,262144,2139.54,1967,2333.8,2085.49
1048576,2,1.56189,1.1669,1.03963,0.584228
1048576,4,1.64555,1.17754,1.04895,0.972568
1048576,8,1.54708,0.985098,1.06469,0.992794
1048576,16,1.8254,0.958736,1.07171,0.986802
1048576,32,1.75898,0.928985,1.05823,0.590901
1048576,64,2.6265,1.14832,1.35009,1.15742
1048576,128,3.94941,2.11475,2.64047,2.29866
1048576,256,6.21986,4.12341,5.21258,4.56147
1048576,512,10.273,7.6708,9.73053,8.55637
1048576,1024,18.711,14.8828,18.7769,16.5513
1048576,2048,35.6663,29.5682,36.9771,32.6561
1048576,4096,68.8953,59.078,73.8441,65.2249
1048576,8192,135.322,118.195,147.338,130.074
1048576,16384,269.37,236.376,294.39,259.968
1048576,32768,536.242,477.269,588.415,521.767
1048576,65536,1070.39,972.092,1175.79,1038.64
1048576,131072,2137.94,1974.99,2351.56,2077
1048576,262144,4274.55,3987.5,4707.73,4159.59
